16 02,21:58:34,1032561 , 41394, 935
16 02,21:58:45,1032561 , 41408, 935
16 02,21:58:56,1032561 , 41420, 935
16 02,21:59:07,1032561 , 41425, 935
16 02,21:59:18,1032561 , 41435, 936
16 02,21:59:28,1032561 , 41441, 936
16 02,21:59:39,1032561 , 41448, 937
16 02,21:59:50,1032561 , 41459, 938
16 02,22:00:02,1032561 , 41471, 938
16 02,22:00:12,1032561 , 41482, 938
16 02,22:00:23,1032561 , 41490, 939
16 02,22:00:34,1032561 , 41504, 940
16 02,22:00:45,1032561 , 41512, 940
16 02,22:00:56,1032561 , 41525, 940
16 02,22:01:07,1032561 , 41540, 941
